Entry	Entry name	Protein description	Gene name	Organism
Q99607	ELF4_HUMAN	ELF4_HUMAN ETS-related transcription factor Elf-4	ELF4	Homo sapiens
Q99608	NECD_HUMAN	NECD_HUMAN Necdin	NDN	Homo sapiens
Q99611	SPS2_HUMAN	SPS2_HUMAN Selenide, water dikinase 2	SEPHS2	Homo sapiens
Q99612	KLF6_HUMAN	KLF6_HUMAN Krueppel-like factor 6	KLF6	Homo sapiens
Q99613	EIF3C_HUMAN	EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C	EIF3C	Homo sapiens
Q99614	TTC1_HUMAN	TTC1_HUMAN Tetratricopeptide repeat protein 1	TTC1	Homo sapiens
Q99615	DNJC7_HUMAN	DNJC7_HUMAN DnaJ homolog subfamily C member 7	DNAJC7	Homo sapiens
Q99616	CCL13_HUMAN	CCL13_HUMAN C-C motif chemokine 13	CCL13	Homo sapiens
Q99618	CDCA3_HUMAN	CDCA3_HUMAN Cell division cycle-associated protein 3	CDCA3	Homo sapiens
Q99619	SPSB2_HUMAN	SPSB2_HUMAN SPRY domain-containing SOCS box protein 2	SPSB2	Homo sapiens
Q99622	C10_HUMAN	C10_HUMAN Protein C10	C12orf57	Homo sapiens
Q99623	PHB2_HUMAN	PHB2_HUMAN Prohibitin-2	PHB2	Homo sapiens
Q99624	S38A3_HUMAN	S38A3_HUMAN Sodium-coupled neutral amino acid transporter 3	SLC38A3	Homo sapiens
Q99626	CDX2_HUMAN	CDX2_HUMAN Homeobox protein CDX-2	CDX2	Homo sapiens
Q99627	CSN8_HUMAN	CSN8_HUMAN COP9 signalosome complex subunit 8	COPS8	Homo sapiens
Q99633	PRP18_HUMAN	PRP18_HUMAN Pre-mRNA-splicing factor 18	PRPF18	Homo sapiens
Q99638	RAD9A_HUMAN	RAD9A_HUMAN Cell cycle checkpoint control protein RAD9A	RAD9A	Homo sapiens
Q99640	PMYT1_HUMAN	PMYT1_HUMAN Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	PKMYT1	Homo sapiens
Q99643	C560_HUMAN	C560_HUMAN Succinate dehydrogenase cytochrome b560 subunit, mitochondrial	SDHC	Homo sapiens
Q99645	EPYC_HUMAN	EPYC_HUMAN Epiphycan	EPYC	Homo sapiens
Q99650	OSMR_HUMAN	OSMR_HUMAN Oncostatin-M-specific receptor subunit beta	OSMR	Homo sapiens
Q99653	CHP1_HUMAN	CHP1_HUMAN Calcineurin B homologous protein 1	CHP1	Homo sapiens
Q99661	KIF2C_HUMAN	KIF2C_HUMAN Kinesin-like protein KIF2C	KIF2C	Homo sapiens
Q99665	I12R2_HUMAN	I12R2_HUMAN Interleukin-12 receptor subunit beta-2	IL12RB2	Homo sapiens
Q99666	RGPD5_HUMAN	RGPD5_HUMAN RANBP2-like and GRIP domain-containing protein 5/6	RGPD5	Homo sapiens
Q99674	CGRE1_HUMAN	CGRE1_HUMAN Cell growth regulator with EF hand domain protein 1	CGREF1	Homo sapiens
Q99675	CGRF1_HUMAN	CGRF1_HUMAN Cell growth regulator with RING finger domain protein 1	CGRRF1	Homo sapiens
Q99676	ZN184_HUMAN	ZN184_HUMAN Zinc finger protein 184	ZNF184	Homo sapiens
Q99677	LPAR4_HUMAN	LPAR4_HUMAN Lysophosphatidic acid receptor 4	LPAR4	Homo sapiens
Q99678	GPR20_HUMAN	GPR20_HUMAN G-protein coupled receptor 20	GPR20	Homo sapiens
Q99679	GPR21_HUMAN	GPR21_HUMAN Probable G-protein coupled receptor 21	GPR21	Homo sapiens
Q99680	GPR22_HUMAN	GPR22_HUMAN G-protein coupled receptor 22	GPR22	Homo sapiens
Q99683	M3K5_HUMAN	M3K5_HUMAN Mitogen-activated protein kinase kinase kinase 5	MAP3K5	Homo sapiens
Q99684	GFI1_HUMAN	GFI1_HUMAN Zinc finger protein Gfi-1	GFI1	Homo sapiens
Q99685	MGLL_HUMAN	MGLL_HUMAN Monoglyceride lipase	MGLL	Homo sapiens
Q99687	MEIS3_HUMAN	MEIS3_HUMAN Homeobox protein Meis3	MEIS3	Homo sapiens
Q99689	FEZ1_HUMAN	FEZ1_HUMAN Fasciculation and elongation protein zeta-1	FEZ1	Homo sapiens
Q99697	PITX2_HUMAN	PITX2_HUMAN Pituitary homeobox 2	PITX2	Homo sapiens
Q99698	LYST_HUMAN	LYST_HUMAN Lysosomal-trafficking regulator	LYST	Homo sapiens
Q99700	ATX2_HUMAN	ATX2_HUMAN Ataxin-2	ATXN2	Homo sapiens
Q99704	DOK1_HUMAN	DOK1_HUMAN Docking protein 1	DOK1	Homo sapiens
Q99705	MCHR1_HUMAN	MCHR1_HUMAN Melanin-concentrating hormone receptor 1	MCHR1	Homo sapiens
Q99706	KI2L4_HUMAN	KI2L4_HUMAN Killer cell immunoglobulin-like receptor 2DL4	KIR2DL4	Homo sapiens
Q99707	METH_HUMAN	METH_HUMAN Methionine synthase	MTR	Homo sapiens
Q99708	CTIP_HUMAN	CTIP_HUMAN DNA endonuclease RBBP8	RBBP8	Homo sapiens
Q99712	KCJ15_HUMAN	KCJ15_HUMAN ATP-sensitive inward rectifier potassium channel 15	KCNJ15	Homo sapiens
Q99714	HCD2_HUMAN	HCD2_HUMAN 3-hydroxyacyl-CoA dehydrogenase type-2	HSD17B10	Homo sapiens
Q99715	COCA1_HUMAN	COCA1_HUMAN Collagen alpha-1(XII) chain	COL12A1	Homo sapiens
Q99717	SMAD5_HUMAN	SMAD5_HUMAN Mothers against decapentaplegic homolog 5	SMAD5	Homo sapiens
Q99719	SEPT5_HUMAN	SEPT5_HUMAN Septin-5	SEPTIN5	Homo sapiens
Q99720	SGMR1_HUMAN	SGMR1_HUMAN Sigma non-opioid intracellular receptor 1	SIGMAR1	Homo sapiens
Q99726	ZNT3_HUMAN	ZNT3_HUMAN Zinc transporter 3	SLC30A3	Homo sapiens
Q99727	TIMP4_HUMAN	TIMP4_HUMAN Metalloproteinase inhibitor 4	TIMP4	Homo sapiens
Q99728	BARD1_HUMAN	BARD1_HUMAN BRCA1-associated RING domain protein 1	BARD1	Homo sapiens
Q99729	ROAA_HUMAN	ROAA_HUMAN Heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB	Homo sapiens
Q99731	CCL19_HUMAN	CCL19_HUMAN C-C motif chemokine 19	CCL19	Homo sapiens
Q99732	LITAF_HUMAN	LITAF_HUMAN Lipopolysaccharide-induced tumor necrosis factor-alpha factor	LITAF	Homo sapiens
Q99733	NP1L4_HUMAN	NP1L4_HUMAN Nucleosome assembly protein 1-like 4	NAP1L4	Homo sapiens
Q99735	MGST2_HUMAN	MGST2_HUMAN Microsomal glutathione S-transferase 2	MGST2	Homo sapiens
Q99741	CDC6_HUMAN	CDC6_HUMAN Cell division control protein 6 homolog	CDC6	Homo sapiens
Q99742	NPAS1_HUMAN	NPAS1_HUMAN Neuronal PAS domain-containing protein 1	NPAS1	Homo sapiens
Q99743	NPAS2_HUMAN	NPAS2_HUMAN Neuronal PAS domain-containing protein 2	NPAS2	Homo sapiens
Q99747	SNAG_HUMAN	SNAG_HUMAN Gamma-soluble NSF attachment protein	NAPG	Homo sapiens
Q99748	NRTN_HUMAN	NRTN_HUMAN Neurturin	NRTN	Homo sapiens
Q99750	MDFI_HUMAN	MDFI_HUMAN MyoD family inhibitor	MDFI	Homo sapiens
Q99755	PI51A_HUMAN	PI51A_HUMAN Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha	PIP5K1A	Homo sapiens
Q99757	THIOM_HUMAN	THIOM_HUMAN Thioredoxin, mitochondrial	TXN2	Homo sapiens
Q99758	ABCA3_HUMAN	ABCA3_HUMAN Phospholipid-transporting ATPase ABCA3	ABCA3	Homo sapiens
Q99759	M3K3_HUMAN	M3K3_HUMAN Mitogen-activated protein kinase kinase kinase 3	MAP3K3	Homo sapiens
Q99766	ATP5S_HUMAN	ATP5S_HUMAN ATP synthase subunit s, mitochondrial	DMAC2L	Homo sapiens
Q99767	APBA2_HUMAN	APBA2_HUMAN Amyloid-beta A4 precursor protein-binding family A member 2	APBA2	Homo sapiens
Q99784	NOE1_HUMAN	NOE1_HUMAN Noelin	OLFM1	Homo sapiens
Q99788	CML1_HUMAN	CML1_HUMAN Chemerin-like receptor 1	CMKLR1	Homo sapiens
Q99795	GPA33_HUMAN	GPA33_HUMAN Cell surface A33 antigen	GPA33	Homo sapiens
Q99797	MIPEP_HUMAN	MIPEP_HUMAN Mitochondrial intermediate peptidase	MIPEP	Homo sapiens
Q99798	ACON_HUMAN	ACON_HUMAN Aconitate hydratase, mitochondrial	ACO2	Homo sapiens
Q99801	NKX31_HUMAN	NKX31_HUMAN Homeobox protein Nkx-3.1	NKX3-1	Homo sapiens
Q99805	TM9S2_HUMAN	TM9S2_HUMAN Transmembrane 9 superfamily member 2	TM9SF2	Homo sapiens
Q99807	COQ7_HUMAN	COQ7_HUMAN 5-demethoxyubiquinone hydroxylase, mitochondrial	COQ7	Homo sapiens
Q99808	S29A1_HUMAN	S29A1_HUMAN Equilibrative nucleoside transporter 1	SLC29A1	Homo sapiens
Q99811	PRRX2_HUMAN	PRRX2_HUMAN Paired mesoderm homeobox protein 2	PRRX2	Homo sapiens
Q99814	EPAS1_HUMAN	EPAS1_HUMAN Endothelial PAS domain-containing protein 1	EPAS1	Homo sapiens
Q99816	TS101_HUMAN	TS101_HUMAN Tumor susceptibility gene 101 protein	TSG101	Homo sapiens
Q99819	GDIR3_HUMAN	GDIR3_HUMAN Rho GDP-dissociation inhibitor 3	ARHGDIG	Homo sapiens
Q99828	CIB1_HUMAN	CIB1_HUMAN Calcium and integrin-binding protein 1	CIB1	Homo sapiens
Q99829	CPNE1_HUMAN	CPNE1_HUMAN Copine-1	CPNE1	Homo sapiens
Q99832	TCPH_HUMAN	TCPH_HUMAN T-complex protein 1 subunit eta	CCT7	Homo sapiens
Q99835	SMO_HUMAN	SMO_HUMAN Smoothened homolog	SMO	Homo sapiens
Q99836	MYD88_HUMAN	MYD88_HUMAN Myeloid differentiation primary response protein MyD88	MYD88	Homo sapiens
Q99848	EBP2_HUMAN	EBP2_HUMAN Probable rRNA-processing protein EBP2	EBNA1BP2	Homo sapiens
Q99853	FOXB1_HUMAN	FOXB1_HUMAN Forkhead box protein B1	FOXB1	Homo sapiens
Q99856	ARI3A_HUMAN	ARI3A_HUMAN AT-rich interactive domain-containing protein 3A	ARID3A	Homo sapiens
Q99865	SPI2A_HUMAN	SPI2A_HUMAN Spindlin-2A	SPIN2A	Homo sapiens
Q99871	HAUS7_HUMAN	HAUS7_HUMAN HAUS augmin-like complex subunit 7	HAUS7	Homo sapiens
Q99873	ANM1_HUMAN	ANM1_HUMAN Protein arginine N-methyltransferase 1	PRMT1	Homo sapiens
Q99877	H2B1N_HUMAN	H2B1N_HUMAN Histone H2B type 1-N	H2BC15	Homo sapiens
Q99878	H2A1J_HUMAN	H2A1J_HUMAN Histone H2A type 1-J	H2AC14	Homo sapiens
Q99879	H2B1M_HUMAN	H2B1M_HUMAN Histone H2B type 1-M	H2BC14	Homo sapiens
Q99880	H2B1L_HUMAN	H2B1L_HUMAN Histone H2B type 1-L	H2BC13	Homo sapiens
Q99884	SC6A7_HUMAN	SC6A7_HUMAN Sodium-dependent proline transporter	SLC6A7	Homo sapiens
Q99895	CTRC_HUMAN	CTRC_HUMAN Chymotrypsin-C	CTRC	Homo sapiens
Q99909	SSX3_HUMAN	SSX3_HUMAN Protein SSX3	SSX3	Homo sapiens
Q99928	GBRG3_HUMAN	GBRG3_HUMAN Gamma-aminobutyric acid receptor subunit gamma-3	GABRG3	Homo sapiens
Q99929	ASCL2_HUMAN	ASCL2_HUMAN Achaete-scute homolog 2	ASCL2	Homo sapiens
Q99932	SPAG8_HUMAN	SPAG8_HUMAN Sperm-associated antigen 8	SPAG8	Homo sapiens
Q99933	BAG1_HUMAN	BAG1_HUMAN BAG family molecular chaperone regulator 1	BAG1	Homo sapiens
Q99935	PROL1_HUMAN	PROL1_HUMAN Opiorphin prepropeptide	OPRPN	Homo sapiens
Q99941	ATF6B_HUMAN	ATF6B_HUMAN Cyclic AMP-dependent transcription factor ATF-6 beta	ATF6B	Homo sapiens
Q99942	RNF5_HUMAN	RNF5_HUMAN E3 ubiquitin-protein ligase RNF5	RNF5	Homo sapiens
Q99943	PLCA_HUMAN	PLCA_HUMAN 1-acyl-sn-glycerol-3-phosphate acyltransferase alpha	AGPAT1	Homo sapiens
Q99944	EGFL8_HUMAN	EGFL8_HUMAN Epidermal growth factor-like protein 8	EGFL8	Homo sapiens
Q99946	PRRT1_HUMAN	PRRT1_HUMAN Proline-rich transmembrane protein 1	PRRT1	Homo sapiens
Q99952	PTN18_HUMAN	PTN18_HUMAN Tyrosine-protein phosphatase non-receptor type 18	PTPN18	Homo sapiens
Q99954	SMR3A_HUMAN	SMR3A_HUMAN Submaxillary gland androgen-regulated protein 3A	SMR3A	Homo sapiens
Q99956	DUS9_HUMAN	DUS9_HUMAN Dual specificity protein phosphatase 9	DUSP9	Homo sapiens
Q99958	FOXC2_HUMAN	FOXC2_HUMAN Forkhead box protein C2	FOXC2	Homo sapiens
Q99959	PKP2_HUMAN	PKP2_HUMAN Plakophilin-2	PKP2	Homo sapiens
Q99961	SH3G1_HUMAN	SH3G1_HUMAN Endophilin-A2	SH3GL1	Homo sapiens
Q99962	SH3G2_HUMAN	SH3G2_HUMAN Endophilin-A1	SH3GL2	Homo sapiens
Q99963	SH3G3_HUMAN	SH3G3_HUMAN Endophilin-A3	SH3GL3	Homo sapiens
Q99965	ADAM2_HUMAN	ADAM2_HUMAN Disintegrin and metalloproteinase domain-containing protein 2	ADAM2	Homo sapiens
Q99966	CITE1_HUMAN	CITE1_HUMAN Cbp/p300-interacting transactivator 1	CITED1	Homo sapiens
Q99967	CITE2_HUMAN	CITE2_HUMAN Cbp/p300-interacting transactivator 2	CITED2	Homo sapiens
Q99969	RARR2_HUMAN	RARR2_HUMAN Retinoic acid receptor responder protein 2	RARRES2	Homo sapiens
Q99972	MYOC_HUMAN	MYOC_HUMAN Myocilin	MYOC	Homo sapiens
Q99973	TEP1_HUMAN	TEP1_HUMAN Telomerase protein component 1	TEP1	Homo sapiens
Q99983	OMD_HUMAN	OMD_HUMAN Osteomodulin	OMD	Homo sapiens
Q99985	SEM3C_HUMAN	SEM3C_HUMAN Semaphorin-3C	SEMA3C	Homo sapiens
Q99986	VRK1_HUMAN	VRK1_HUMAN Serine/threonine-protein kinase VRK1	VRK1	Homo sapiens
Q99988	GDF15_HUMAN	GDF15_HUMAN Growth/differentiation factor 15	GDF15	Homo sapiens
Q99990	VGLL1_HUMAN	VGLL1_HUMAN Transcription cofactor vestigial-like protein 1	VGLL1	Homo sapiens
Q99996	AKAP9_HUMAN	AKAP9_HUMAN A-kinase anchor protein 9	AKAP9	Homo sapiens
Q99999	G3ST1_HUMAN	G3ST1_HUMAN Galactosylceramide sulfotransferase	GAL3ST1	Homo sapiens
Q9BPU6	DPYL5_HUMAN	DPYL5_HUMAN Dihydropyrimidinase-related protein 5	DPYSL5	Homo sapiens
Q9BPU9	B9D2_HUMAN	B9D2_HUMAN B9 domain-containing protein 2	B9D2	Homo sapiens
Q9BPV8	P2Y13_HUMAN	P2Y13_HUMAN P2Y purinoceptor 13	P2RY13	Homo sapiens
Q9BPW4	APOL4_HUMAN	APOL4_HUMAN Apolipoprotein L4	APOL4	Homo sapiens
Q9BPW5	RSLBB_HUMAN	RSLBB_HUMAN Ras-like protein family member 11B	RASL11B	Homo sapiens
Q9BPW8	NIPS1_HUMAN	NIPS1_HUMAN Protein NipSnap homolog 1	NIPSNAP1	Homo sapiens
Q9BPW9	DHRS9_HUMAN	DHRS9_HUMAN Dehydrogenase/reductase SDR family member 9	DHRS9	Homo sapiens
Q9BPX1	DHB14_HUMAN	DHB14_HUMAN 17-beta-hydroxysteroid dehydrogenase 14	HSD17B14	Homo sapiens
Q9BPX3	CND3_HUMAN	CND3_HUMAN Condensin complex subunit 3	NCAPG	Homo sapiens
Q9BPX5	ARP5L_HUMAN	ARP5L_HUMAN Actin-related protein 2/3 complex subunit 5-like protein	ARPC5L	Homo sapiens
Q9BPX6	MICU1_HUMAN	MICU1_HUMAN Calcium uptake protein 1, mitochondrial	MICU1	Homo sapiens
Q9BPX7	CG025_HUMAN	CG025_HUMAN UPF0415 protein C7orf25	C7orf25	Homo sapiens
Q9BPY3	F118B_HUMAN	F118B_HUMAN Protein FAM118B	FAM118B	Homo sapiens
Q9BPY8	HOP_HUMAN	HOP_HUMAN Homeodomain-only protein	HOPX	Homo sapiens
Q9BPZ2	SPI2B_HUMAN	SPI2B_HUMAN Spindlin-2B	SPIN2B	Homo sapiens
Q9BPZ3	PAIP2_HUMAN	PAIP2_HUMAN Polyadenylate-binding protein-interacting protein 2	PAIP2	Homo sapiens
Q9BPZ7	SIN1_HUMAN	SIN1_HUMAN Target of rapamycin complex 2 subunit MAPKAP1	MAPKAP1	Homo sapiens
Q9BQ04	RBM4B_HUMAN	RBM4B_HUMAN RNA-binding protein 4B	RBM4B	Homo sapiens
Q9BQ08	RETNB_HUMAN	RETNB_HUMAN Resistin-like beta	RETNLB	Homo sapiens
Q9BQ13	KCD14_HUMAN	KCD14_HUMAN BTB/POZ domain-containing protein KCTD14	KCTD14	Homo sapiens
Q9BQ15	SOSB1_HUMAN	SOSB1_HUMAN SOSS complex subunit B1	NABP2	Homo sapiens
Q9BQ16	TICN3_HUMAN	TICN3_HUMAN Testican-3	SPOCK3	Homo sapiens
Q9BQ24	ZFY21_HUMAN	ZFY21_HUMAN Zinc finger FYVE domain-containing protein 21	ZFYVE21	Homo sapiens
Q9BQ31	KCNS3_HUMAN	KCNS3_HUMAN Potassium voltage-gated channel subfamily S member 3	KCNS3	Homo sapiens
Q9BQ39	DDX50_HUMAN	DDX50_HUMAN ATP-dependent RNA helicase DDX50	DDX50	Homo sapiens
Q9BQ48	RM34_HUMAN	RM34_HUMAN 39S ribosomal protein L34, mitochondrial	MRPL34	Homo sapiens
Q9BQ49	SMIM7_HUMAN	SMIM7_HUMAN Small integral membrane protein 7	SMIM7	Homo sapiens
Q9BQ50	TREX2_HUMAN	TREX2_HUMAN Three prime repair exonuclease 2	TREX2	Homo sapiens
Q9BQ51	PD1L2_HUMAN	PD1L2_HUMAN Programmed cell death 1 ligand 2	PDCD1LG2	Homo sapiens
Q9BQ52	RNZ2_HUMAN	RNZ2_HUMAN Zinc phosphodiesterase ELAC protein 2	ELAC2	Homo sapiens
Q9BQ61	TRIR_HUMAN	TRIR_HUMAN Telomerase RNA component interacting RNase	TRIR	Homo sapiens
Q9BQ65	USB1_HUMAN	USB1_HUMAN U6 snRNA phosphodiesterase	USB1	Homo sapiens
Q9BQ66	KR412_HUMAN	KR412_HUMAN Keratin-associated protein 4-12	KRTAP4-12	Homo sapiens
Q9BQ67	GRWD1_HUMAN	GRWD1_HUMAN Glutamate-rich WD repeat-containing protein 1	GRWD1	Homo sapiens
Q9BQ69	MACD1_HUMAN	MACD1_HUMAN ADP-ribose glycohydrolase MACROD1	MACROD1	Homo sapiens
Q9BQ70	TCF25_HUMAN	TCF25_HUMAN Transcription factor 25	TCF25	Homo sapiens
Q9BQ75	CMS1_HUMAN	CMS1_HUMAN Protein CMSS1	CMSS1	Homo sapiens
Q9BQ83	SLX1_HUMAN	SLX1_HUMAN Structure-specific endonuclease subunit SLX1	SLX1A	Homo sapiens
Q9BQ87	TBL1Y_HUMAN	TBL1Y_HUMAN F-box-like/WD repeat-containing protein TBL1Y	TBL1Y	Homo sapiens
Q9BQ89	F110A_HUMAN	F110A_HUMAN Protein FAM110A	FAM110A	Homo sapiens
Q9BQ90	KLDC3_HUMAN	KLDC3_HUMAN Kelch domain-containing protein 3	KLHDC3	Homo sapiens
Q9BQ95	ECSIT_HUMAN	ECSIT_HUMAN Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	ECSIT	Homo sapiens
Q9BQA1	MEP50_HUMAN	MEP50_HUMAN Methylosome protein 50	WDR77	Homo sapiens
Q9BQA5	HINFP_HUMAN	HINFP_HUMAN Histone H4 transcription factor	HINFP	Homo sapiens
Q9BQA9	CYBC1_HUMAN	CYBC1_HUMAN Cytochrome b-245 chaperone 1	CYBC1	Homo sapiens
Q9BQB4	SOST_HUMAN	SOST_HUMAN Sclerostin	SOST	Homo sapiens
Q9BQB6	VKOR1_HUMAN	VKOR1_HUMAN Vitamin K epoxide reductase complex subunit 1	VKORC1	Homo sapiens
Q9BQC3	DPH2_HUMAN	DPH2_HUMAN 2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	DPH2	Homo sapiens
Q9BQC6	RT63_HUMAN	RT63_HUMAN Ribosomal protein 63, mitochondrial	MRPL57	Homo sapiens
Q9BQD1	MCHL2_HUMAN	MCHL2_HUMAN Putative pro-MCH-like protein 2	PMCHL2	Homo sapiens
Q9BQD3	KXDL1_HUMAN	KXDL1_HUMAN KxDL motif-containing protein 1	KXD1	Homo sapiens
Q9BQD7	ANKMT_HUMAN	ANKMT_HUMAN Adenine nucleotide translocase lysine N-methyltransferase	ANTKMT	Homo sapiens
Q9BQE3	TBA1C_HUMAN	TBA1C_HUMAN Tubulin alpha-1C chain	TUBA1C	Homo sapiens
Q9BQE4	SELS_HUMAN	SELS_HUMAN Selenoprotein S	SELENOS	Homo sapiens
Q9BQE5	APOL2_HUMAN	APOL2_HUMAN Apolipoprotein L2	APOL2	Homo sapiens
Q9BQE6	LBHD1_HUMAN	LBHD1_HUMAN LBH domain-containing protein 1	LBHD1	Homo sapiens
Q9BQE9	BCL7B_HUMAN	BCL7B_HUMAN B-cell CLL/lymphoma 7 protein family member B	BCL7B	Homo sapiens
Q9BQF6	SENP7_HUMAN	SENP7_HUMAN Sentrin-specific protease 7	SENP7	Homo sapiens
Q9BQG0	MBB1A_HUMAN	MBB1A_HUMAN Myb-binding protein 1A	MYBBP1A	Homo sapiens
Q9BQG1	SYT3_HUMAN	SYT3_HUMAN Synaptotagmin-3	SYT3	Homo sapiens
Q9BQG2	NUD12_HUMAN	NUD12_HUMAN NAD-capped RNA hydrolase NUDT12	NUDT12	Homo sapiens
Q9BQI0	AIF1L_HUMAN	AIF1L_HUMAN Allograft inflammatory factor 1-like	AIF1L	Homo sapiens
Q9BQI3	E2AK1_HUMAN	E2AK1_HUMAN Eukaryotic translation initiation factor 2-alpha kinase 1	EIF2AK1	Homo sapiens
Q9BQI4	CCDC3_HUMAN	CCDC3_HUMAN Coiled-coil domain-containing protein 3	CCDC3	Homo sapiens
Q9BQI5	SGIP1_HUMAN	SGIP1_HUMAN SH3-containing GRB2-like protein 3-interacting protein 1	SGIP1	Homo sapiens
Q9BQI6	SLF1_HUMAN	SLF1_HUMAN SMC5-SMC6 complex localization factor protein 1	SLF1	Homo sapiens
Q9BQI7	PSD2_HUMAN	PSD2_HUMAN PH and SEC7 domain-containing protein 2	PSD2	Homo sapiens
Q9BQI9	NRIP2_HUMAN	NRIP2_HUMAN Nuclear receptor-interacting protein 2	NRIP2	Homo sapiens
Q9BQJ4	TMM47_HUMAN	TMM47_HUMAN Transmembrane protein 47	TMEM47	Homo sapiens
Q9BQK8	LPIN3_HUMAN	LPIN3_HUMAN Phosphatidate phosphatase LPIN3	LPIN3	Homo sapiens
Q9BQL6	FERM1_HUMAN	FERM1_HUMAN Fermitin family homolog 1	FERMT1	Homo sapiens
Q9BQM9	CT144_HUMAN	CT144_HUMAN Uncharacterized protein C20orf144	C20orf144	Homo sapiens
Q9BQN1	FA83C_HUMAN	FA83C_HUMAN Protein FAM83C	FAM83C	Homo sapiens
Q9BQP7	MGME1_HUMAN	MGME1_HUMAN Mitochondrial genome maintenance exonuclease 1	MGME1	Homo sapiens
Q9BQP9	BPIA3_HUMAN	BPIA3_HUMAN BPI fold-containing family A member 3	BPIFA3	Homo sapiens
Q9BQQ3	GORS1_HUMAN	GORS1_HUMAN Golgi reassembly-stacking protein 1	GORASP1	Homo sapiens
Q9BQQ7	RTP3_HUMAN	RTP3_HUMAN Receptor-transporting protein 3	RTP3	Homo sapiens
Q9BQR3	PRS27_HUMAN	PRS27_HUMAN Serine protease 27	PRSS27	Homo sapiens
Q9BQS2	SYT15_HUMAN	SYT15_HUMAN Synaptotagmin-15	SYT15	Homo sapiens
Q9BQS6	HSPB9_HUMAN	HSPB9_HUMAN Heat shock protein beta-9	HSPB9	Homo sapiens
Q9BQS7	HEPH_HUMAN	HEPH_HUMAN Hephaestin	HEPH	Homo sapiens
Q9BQS8	FYCO1_HUMAN	FYCO1_HUMAN FYVE and coiled-coil domain-containing protein 1	FYCO1	Homo sapiens
Q9BQT8	ODC_HUMAN	ODC_HUMAN Mitochondrial 2-oxodicarboxylate carrier	SLC25A21	Homo sapiens
Q9BQT9	CSTN3_HUMAN	CSTN3_HUMAN Calsyntenin-3	CLSTN3	Homo sapiens
Q9BQW3	COE4_HUMAN	COE4_HUMAN Transcription factor COE4	EBF4	Homo sapiens
Q9BQY4	RHXF2_HUMAN	RHXF2_HUMAN Rhox homeobox family member 2	RHOXF2	Homo sapiens
Q9BQY6	WFDC6_HUMAN	WFDC6_HUMAN WAP four-disulfide core domain protein 6	WFDC6	Homo sapiens
Q9BQY9	DBND2_HUMAN	DBND2_HUMAN Dysbindin domain-containing protein 2	DBNDD2	Homo sapiens
Q9BR01	ST4A1_HUMAN	ST4A1_HUMAN Sulfotransferase 4A1	SULT4A1	Homo sapiens
Q9BR09	NEUL2_HUMAN	NEUL2_HUMAN Neuralized-like protein 2	NEURL2	Homo sapiens
Q9BR10	SPT25_HUMAN	SPT25_HUMAN Spermatogenesis-associated protein 25	SPATA25	Homo sapiens
Q9BR11	ZSWM1_HUMAN	ZSWM1_HUMAN Zinc finger SWIM domain-containing protein 1	ZSWIM1	Homo sapiens
Q9BR26	OCSTP_HUMAN	OCSTP_HUMAN Osteoclast stimulatory transmembrane protein	OCSTAMP	Homo sapiens
Q9BR39	JPH2_HUMAN	JPH2_HUMAN Junctophilin-2	JPH2	Homo sapiens
Q9BR46	SCAS1_HUMAN	SCAS1_HUMAN Putative uncharacterized protein SCP2D1-AS1	SCP2D1-AS1	Homo sapiens
Q9BR61	ACBD6_HUMAN	ACBD6_HUMAN Acyl-CoA-binding domain-containing protein 6	ACBD6	Homo sapiens
Q9BR76	COR1B_HUMAN	COR1B_HUMAN Coronin-1B	CORO1B	Homo sapiens
Q9BR77	CCD77_HUMAN	CCD77_HUMAN Coiled-coil domain-containing protein 77	CCDC77	Homo sapiens
Q9BR84	ZN559_HUMAN	ZN559_HUMAN Zinc finger protein 559	ZNF559	Homo sapiens
Q9BRA0	LSMD1_HUMAN	LSMD1_HUMAN N-alpha-acetyltransferase 38, NatC auxiliary subunit	NAA38	Homo sapiens
Q9BRA2	TXD17_HUMAN	TXD17_HUMAN Thioredoxin domain-containing protein 17	TXNDC17	Homo sapiens
Q9BRB3	PIGQ_HUMAN	PIGQ_HUMAN Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q	PIGQ	Homo sapiens
Q9BRC7	PLCD4_HUMAN	PLCD4_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-4	PLCD4	Homo sapiens
Q9BRD0	BUD13_HUMAN	BUD13_HUMAN BUD13 homolog	BUD13	Homo sapiens
Q9BRF8	CPPED_HUMAN	CPPED_HUMAN Serine/threonine-protein phosphatase CPPED1	CPPED1	Homo sapiens
Q9BRG1	VPS25_HUMAN	VPS25_HUMAN Vacuolar protein-sorting-associated protein 25	VPS25	Homo sapiens
Q9BRG2	SH23A_HUMAN	SH23A_HUMAN SH2 domain-containing protein 3A	SH2D3A	Homo sapiens
Q9BRH9	ZN251_HUMAN	ZN251_HUMAN Zinc finger protein 251	ZNF251	Homo sapiens
